iter	Logloss
0	0.6418322279
1	0.5882888658
2	0.5486764543
3	0.5136922014
4	0.4849508904
5	0.4601956702
6	0.4420420108
7	0.4176137543
8	0.3985734914
9	0.3823331604
10	0.3698093296
11	0.3580457442
12	0.3452669118
13	0.3363869171
14	0.3290703227
15	0.3218115302
16	0.3132071211
17	0.3066327972
18	0.3012589705
19	0.2961073676
20	0.2912349837
21	0.2877484038
22	0.2841400435
23	0.2804510735
24	0.277502622
25	0.2747152812
26	0.2716308356
27	0.2685207045
28	0.2664770042
29	0.2645257399
30	0.2621783617
31	0.25958412
32	0.2579479599
33	0.2552675815
34	0.2530367457
35	0.2519559665
36	0.2496943656
37	0.2484979265
38	0.2474192793
39	0.2461215066
40	0.2441508518
41	0.2427135128
42	0.2409309175
43	0.2400342653
44	0.2388038712
45	0.2374244741
46	0.2364220217
47	0.2354940236
48	0.2340787498
49	0.2332158635
50	0.2325383386
51	0.2315953013
52	0.2305384564
53	0.2296087409
54	0.2284954953
55	0.227740097
56	0.2269925596
57	0.2263302553
58	0.2256220525
59	0.224975051
60	0.2243547753
61	0.2236922099
62	0.2226904933
63	0.2218248834
64	0.2211840269
65	0.2207064201
66	0.2201115977
67	0.2194164022
68	0.2189039315
69	0.2184740728
70	0.2179788149
71	0.2175098716
72	0.2168725162
73	0.2164072715
74	0.2158716176
75	0.2154104004
76	0.2148550568
77	0.2143961216
78	0.2138705911
79	0.2129492179
80	0.2125111482
81	0.2120862918
82	0.2117684996
83	0.2113466331
84	0.2110692359
85	0.2105386403
86	0.2101076906
87	0.2096657172
88	0.2092152066
89	0.2086464776
90	0.2083825353
91	0.2080224406
92	0.2076907213
93	0.2074048979
94	0.2070841175
95	0.2068241052
96	0.2066127124
97	0.2063316667
98	0.2060800451
99	0.2057617917
100	0.2052782271
101	0.2049560852
102	0.2045551622
103	0.2042881292
104	0.2038450487
105	0.2034081489
106	0.2032174852
107	0.2029532293
108	0.2027004878
109	0.2025284381
110	0.2021670837
111	0.2019443707
112	0.2017015737
113	0.2014948722
114	0.2012871001
115	0.2010335922
116	0.2008074671
117	0.20046182
118	0.2001580565
119	0.2000356386
120	0.1998279088
121	0.19939996
122	0.1992141724
123	0.1990155318
124	0.1986522293
125	0.1983597861
126	0.1981865345
127	0.197951366
128	0.1976598002
129	0.1974107064
130	0.1971572164
131	0.1970160175
132	0.1968007033
133	0.1965857281
134	0.1963387934
135	0.1961120868
136	0.1959188012
137	0.1957702493
138	0.1955353716
139	0.195424068
140	0.1952984348
141	0.195135476
142	0.1948851123
143	0.1947533069
144	0.1946222577
145	0.1943492347
146	0.1941205444
147	0.1939493061
148	0.1937750719
149	0.1936597027
150	0.1935415675
151	0.1933576762
152	0.1931400053
153	0.1930112296
154	0.1928841731
155	0.1926793849
156	0.1925605206
157	0.1923908607
158	0.1920282338
159	0.1918738124
160	0.191727055
161	0.1914776747
162	0.191379225
163	0.1912636863
164	0.1911040073
165	0.1910287459
166	0.1908186713
167	0.1906246948
168	0.1904260881
169	0.1903118218
170	0.1901325107
171	0.1899987818
172	0.1898864246
173	0.1896831657
174	0.1894426414
175	0.1893211009
176	0.1891608641
177	0.1890210809
178	0.1889152281
179	0.1887893016
180	0.1886597375
181	0.1885331379
182	0.1884103241
183	0.1882821842
184	0.1880381003
185	0.1879028312
186	0.1877664634
187	0.1876667074
188	0.1875576706
189	0.1874330783
190	0.187335417
191	0.1871320623
192	0.1869829186
193	0.1867569589
194	0.1866687173
195	0.1865202866
196	0.1863859609
197	0.1862694304
198	0.1861381827
199	0.1860170127
200	0.1858955739
201	0.185791576
202	0.1856463004
203	0.1854782283
204	0.1853517626
205	0.1851644372
206	0.1850603833
207	0.1849570965
208	0.1848625064
209	0.1847409473
210	0.184584348
211	0.1844738007
212	0.1843550025
213	0.1842233124
214	0.1841282832
215	0.1840215878
216	0.1839287177
217	0.1838337691
218	0.183713913
219	0.1836303084
220	0.183534256
221	0.1834060381
222	0.1832704315
223	0.1831732508
224	0.18310554
225	0.1830012148
226	0.1829004372
227	0.1828052334
228	0.1826773241
229	0.1825477659
230	0.1824592828
231	0.1823600125
232	0.1822789129
233	0.1821612074
234	0.181997629
235	0.1819061847
236	0.1817834846
237	0.1816686613
238	0.1815610089
239	0.1814244919
240	0.1812687734
241	0.1810951046
242	0.1809919654
243	0.1808806339
244	0.1807572327
245	0.1806586422
246	0.1805363592
247	0.1804528156
248	0.1803323042
249	0.1802287911
250	0.1801351963
251	0.1800394669
252	0.179942972
253	0.1797822715
254	0.1796739214
255	0.1795420651
256	0.1794522578
257	0.1793274782
258	0.1792035166
259	0.17912785
260	0.1790213148
261	0.1789183155
262	0.1788149228
263	0.178716579
264	0.1785801739
265	0.1784695553
266	0.1783195428
267	0.1781970283
268	0.1780709322
269	0.1779080353
270	0.1777813161
271	0.1776301753
272	0.1775110185
273	0.1774167269
274	0.1773432142
275	0.1772748761
276	0.1771742588
277	0.1770380003
278	0.1769398838
279	0.1767770081
280	0.1766813592
281	0.176573182
282	0.1764763523
283	0.1763519236
284	0.1762525143
285	0.1761694209
286	0.1760728955
287	0.1759686195
288	0.1758523297
289	0.1757227173
290	0.1755548842
291	0.1754527537
292	0.1753253649
293	0.1752221425
294	0.1750791346
295	0.1749851337
296	0.1748968302
297	0.1748311844
298	0.1747282715
299	0.1745910873
300	0.1744732403
301	0.174392846
302	0.1742907613
303	0.1741381709
304	0.1740681568
305	0.1739987157
306	0.1739021818
307	0.1738086285
308	0.1737514428
309	0.1736144367
310	0.1735177553
311	0.1733883116
312	0.1732829717
313	0.1731645025
314	0.1730885323
315	0.1729808757
316	0.1728904673
317	0.1727869975
318	0.1727150362
319	0.1726139815
320	0.1724921137
321	0.17239048
322	0.1723029531
323	0.1721812227
324	0.1721027603
325	0.172039249
326	0.1719336717
327	0.1718395471
328	0.1717539351
329	0.1716290029
330	0.1715358819
331	0.1714550001
332	0.1713229938
333	0.1712506078
334	0.1711897346
335	0.1711023602
336	0.1710036841
337	0.1709143855
338	0.1708457625
339	0.1707771708
340	0.1706659868
341	0.1705563405
342	0.1704945043
343	0.170423506
344	0.1703167394
345	0.1702151574
346	0.1701251195
347	0.1700085848
348	0.1698776076
349	0.1697841882
350	0.1697128262
351	0.1696208683
352	0.1695207613
353	0.1694017198
354	0.1693409042
355	0.1692760798
356	0.169171207
357	0.1690856501
358	0.1689885635
359	0.1688790817
360	0.1687681427
361	0.1686768239
362	0.168590989
363	0.1685134625
364	0.1684137336
365	0.1683261015
366	0.1682059877
367	0.168118743
368	0.1680776401
369	0.167997957
370	0.167848654
371	0.1677836939
372	0.1676967485
373	0.1676292224
374	0.1675520147
375	0.1674694163
376	0.1673723094
377	0.1673196665
378	0.1672443983
379	0.1671476754
380	0.1670795602
381	0.167007125
382	0.1669347983
383	0.1668499544
384	0.1667432022
385	0.1666413532
386	0.1665560744
387	0.1664737227
388	0.1663806602
389	0.1663020876
390	0.1662223494
391	0.1661706119
392	0.1660615412
393	0.1659686356
394	0.1658804533
395	0.165789989
396	0.1657182736
397	0.1656378615
398	0.1655366194
399	0.1654497927
400	0.1653901062
401	0.1652903781
402	0.1651998011
403	0.1651410234
404	0.1650738203
405	0.1649801975
406	0.1649192742
407	0.1648450097
408	0.1647599699
409	0.1646739951
410	0.1645717536
411	0.1644716966
412	0.1644121789
413	0.1643349423
414	0.1642624325
415	0.1641795739
416	0.1641190694
417	0.1640461044
418	0.1639440053
419	0.1638898951
420	0.1637773048
421	0.1637152922
422	0.1636490563
423	0.1635652534
424	0.163447642
425	0.1633789851
426	0.1633207609
427	0.1632353253
428	0.1631251339
429	0.1630587362
430	0.1629564658
431	0.1628704232
432	0.1628006007
433	0.1627078061
434	0.1625989397
435	0.1625240343
436	0.1624656491
437	0.1624193268
438	0.1623545286
439	0.1622884572
440	0.162212076
441	0.1621184226
442	0.1620415251
443	0.1619922104
444	0.1619500131
445	0.1618779458
446	0.1617697135
447	0.1616959025
448	0.1616189863
449	0.1615173662
450	0.1614348941
451	0.1613545854
452	0.1612585653
453	0.1611686147
454	0.1610531684
455	0.1609765633
456	0.1608996099
457	0.1608407788
458	0.1607829395
459	0.1606909248
460	0.1606214998
461	0.160535542
462	0.1604582308
463	0.1603874512
464	0.1603152729
465	0.1602794783
466	0.1602045585
467	0.1601376851
468	0.1600609097
469	0.1600092104
470	0.1599649811
471	0.1599055049
472	0.159833558
473	0.1597470373
474	0.1596878942
475	0.1595819889
476	0.1594943449
477	0.1594355392
478	0.1593646469
479	0.1592744268
480	0.1591887953
481	0.1591173426
482	0.1590535278
483	0.1589756156
484	0.1589067061
485	0.1588553187
486	0.1587755822
487	0.1587028012
488	0.1586282077
489	0.1585743459
490	0.158492914
491	0.1584358487
492	0.1583712853
493	0.1582854173
494	0.1582296261
495	0.1581901728
496	0.158135671
497	0.1580682407
498	0.1579920815
499	0.1579432738
500	0.157893297
501	0.1578266059
502	0.1577496609
503	0.1576735687
504	0.1576206207
505	0.1574891052
506	0.1574248233
507	0.1573806831
508	0.1573145625
509	0.1572426334
510	0.1571918038
511	0.1571275779
512	0.1570472649
513	0.1569843674
514	0.1569205831
515	0.1568394174
516	0.1567572759
517	0.156690584
518	0.1566078313
519	0.1565484111
520	0.1564740016
521	0.1564299104
522	0.1563387188
523	0.1562711953
524	0.1562068464
525	0.1561360584
526	0.1560940509
527	0.1560210325
528	0.1559490246
529	0.1559086558
530	0.155835247
531	0.155778378
532	0.1557153045
533	0.1556642422
534	0.1555962219
535	0.1555119849
536	0.1554498325
537	0.1553627879
538	0.1553247342
539	0.155256446
540	0.1552003543
541	0.1551467777
542	0.155086948
543	0.1550006222
544	0.1548928583
545	0.1548251538
546	0.1547444339
547	0.1546915135
548	0.1546382921
549	0.154562099
550	0.1544730008
551	0.1544405713
552	0.1543865017
553	0.1542834829
554	0.1542368893
555	0.1541551895
556	0.154095993
557	0.1540138253
558	0.1539514766
559	0.1538817914
560	0.1538273366
561	0.1537928051
562	0.1537030377
563	0.1536124119
564	0.153551807
565	0.1534766036
566	0.1534152747
567	0.1533519893
568	0.1533124788
569	0.1532228538
570	0.1531450161
571	0.1530784035
572	0.153009761
573	0.1529522536
574	0.1528941871
575	0.1528300323
576	0.1527837558
577	0.1527154439
578	0.152624418
579	0.1525429764
580	0.1524901229
581	0.1524129982
582	0.1523375155
583	0.1522762231
584	0.1521735187
585	0.1521253946
586	0.1520804206
587	0.1520315764
588	0.1519368464
589	0.1518645651
590	0.1518057141
591	0.1517637333
592	0.1517008934
593	0.1516318304
594	0.1515720855
595	0.1514857614
596	0.1514135937
597	0.1513477342
598	0.1512943776
599	0.15122322
600	0.1511652684
601	0.151108596
602	0.1510375782
603	0.1509466209
604	0.1508923683
605	0.1508583183
606	0.1507897224
607	0.1506985033
608	0.1506229362
609	0.1505493016
610	0.1504752392
611	0.1504131877
612	0.1503500735
613	0.1502601
614	0.1502242792
615	0.1501482921
616	0.1500992037
617	0.1500447138
618	0.1499847666
619	0.1499222599
620	0.1498483565
621	0.1497942174
622	0.1497454584
623	0.1496996935
624	0.1496616889
625	0.149607549
626	0.149535717
627	0.1494616818
628	0.149384471
629	0.149300368
630	0.1492624626
631	0.1492293087
632	0.1491931309
633	0.14914168
634	0.1490729315
635	0.1490216959
636	0.148944856
637	0.1488704686
638	0.1488248562
639	0.1487640987
640	0.1487124519
641	0.1486858838
642	0.1486215977
643	0.1485795958
644	0.1485034421
645	0.1484508828
646	0.1483837162
647	0.1482944683
648	0.1482325893
649	0.1481684697
650	0.148111354
651	0.1480437283
652	0.1479828657
653	0.1479164653
654	0.1478495483
655	0.1477684669
656	0.1476875394
657	0.1476274846
658	0.1475763681
659	0.1475066071
660	0.1474694133
661	0.1474350111
662	0.1473837056
663	0.1473132833
664	0.1472565638
665	0.1471801071
666	0.1471159702
667	0.1470553924
668	0.1469918285
669	0.1469437311
670	0.1469108543
671	0.1468657239
672	0.1467951088
673	0.1467480151
674	0.146693512
675	0.1466518368
676	0.1465876952
677	0.1465115903
678	0.1464536374
679	0.1464197905
680	0.1463486659
681	0.1462759599
682	0.1461936684
683	0.1461406072
684	0.1460812611
685	0.1460140805
686	0.1459359288
687	0.1459086952
688	0.145842656
689	0.145780802
690	0.1457248294
691	0.1456587012
692	0.1456154777
693	0.1455462405
694	0.1455116369
695	0.1454450527
696	0.1453648868
697	0.1453285272
698	0.1452642551
699	0.1452055355
700	0.1451456167
701	0.1450777677
702	0.145013337
703	0.1449625935
704	0.1449172003
705	0.1448657879
706	0.1448034833
707	0.1447003165
708	0.1446378326
709	0.1445739687
710	0.1445229352
711	0.144468235
712	0.1444003207
713	0.1443646456
714	0.1443021651
715	0.1442476061
716	0.1441841706
717	0.1441493776
718	0.1440932371
719	0.1440435092
720	0.1439780053
721	0.1438901164
722	0.1438307266
723	0.1437842306
724	0.1437371606
725	0.1436756783
726	0.143595192
727	0.1435202895
728	0.1434612817
729	0.1433957426
730	0.1433561533
731	0.1433103858
732	0.1432490993
733	0.1431897142
734	0.1431397201
735	0.1431129697
736	0.1430628179
737	0.1430067274
738	0.1429475178
739	0.1428919033
740	0.1428375418
741	0.142788386
742	0.1427208116
743	0.1426738239
744	0.1426292767
745	0.1425649681
746	0.1425050939
747	0.1424406475
748	0.1423797099
749	0.1423195407
750	0.1422851919
751	0.1422305476
752	0.1421560351
753	0.1420872468
754	0.1420293469
755	0.1419675958
756	0.1419145122
757	0.1418510128
758	0.1417938855
759	0.1417380231
760	0.1416504809
761	0.1415704401
762	0.1415256827
763	0.141456654
764	0.1414089042
765	0.1413430879
766	0.1412979889
767	0.1412330246
768	0.1411823154
769	0.1411244036
770	0.1410834664
771	0.1410352033
772	0.1410046154
773	0.1409514707
774	0.1408948737
775	0.140836767
776	0.1407875154
777	0.1407361675
778	0.1406886368
779	0.1406394937
780	0.1405976609
781	0.1405447744
782	0.140495043
783	0.1404173571
784	0.1403755811
785	0.1403262859
786	0.1402624452
787	0.1402038104
788	0.1401428053
789	0.1400897836
790	0.140036903
791	0.1400092235
792	0.1399493417
793	0.1399046762
794	0.1398474549
795	0.1398032489
796	0.1397447137
797	0.1396924159
798	0.1396634394
799	0.1396126777
800	0.1395601179
801	0.1395157233
802	0.1394605747
803	0.1394103974
804	0.1393604609
805	0.1392961481
806	0.1392559242
807	0.1391839812
808	0.1391369252
809	0.1390587968
810	0.1390092858
811	0.1389554244
812	0.1389103521
813	0.1388575668
814	0.1387848744
815	0.138716242
816	0.1386572198
817	0.1385820041
818	0.1385183084
819	0.1384617403
820	0.1384318386
821	0.1383998027
822	0.1383334554
823	0.1382467812
824	0.138197403
825	0.1381396183
826	0.1380968526
827	0.1380370488
828	0.1379739634
829	0.1379235302
830	0.1378680937
831	0.1377982296
832	0.1377526516
833	0.1376889831
834	0.137623656
835	0.1375836097
836	0.1375028271
837	0.1374695223
838	0.1374127299
839	0.1373492389
840	0.1372804443
841	0.1372559552
842	0.1372067587
843	0.1371386909
844	0.1370835385
845	0.1370309953
846	0.1369474102
847	0.1369055947
848	0.1368231617
849	0.1367738762
850	0.1367158101
851	0.1366676704
852	0.1366049461
853	0.1365746841
854	0.1365441204
855	0.1364950901
856	0.1364408781
857	0.1363903334
858	0.1363304634
859	0.1362589234
860	0.1362196223
861	0.1361575775
862	0.1361153153
863	0.1360329327
864	0.1359878527
865	0.1359355261
866	0.1359109217
867	0.1358701553
868	0.1358004968
869	0.135738419
870	0.1356884685
