iter	Passed	Remaining
0	47	47190
1	91	45455
2	124	41444
3	149	37348
4	171	34167
5	187	31138
6	201	28515
7	214	26562
8	225	24866
9	237	23521
10	249	22444
11	260	21456
12	271	20620
13	281	19853
14	292	19230
15	303	18685
16	314	18165
17	325	17733
18	337	17405
19	347	17043
20	358	16699
21	369	16412
22	379	16131
23	390	15879
24	402	15683
25	413	15475
26	423	15267
27	434	15097
28	446	14935
29	457	14776
30	468	14632
31	479	14514
32	490	14379
33	501	14248
34	511	14116
35	522	13999
36	533	13892
37	544	13790
38	556	13707
39	567	13616
40	577	13518
41	588	13424
42	599	13347
43	610	13260
44	620	13176
45	632	13114
46	643	13049
47	654	12979
48	665	12912
49	675	12840
50	686	12777
51	697	12706
52	708	12653
53	719	12597
54	730	12550
55	741	12500
56	752	12441
57	762	12387
58	773	12330
59	783	12281
60	794	12230
61	805	12182
62	815	12134
63	826	12082
64	836	12037
65	847	11998
66	858	11956
67	869	11921
68	881	11888
69	893	11865
70	903	11825
71	914	11782
72	924	11743
73	935	11708
74	946	11678
75	958	11649
76	969	11620
77	980	11589
78	991	11562
79	1003	11536
80	1014	11505
81	1025	11484
82	1036	11454
83	1050	11450
84	1061	11422
85	1071	11389
86	1081	11349
87	1092	11317
88	1102	11289
89	1113	11257
90	1123	11224
91	1134	11201
92	1145	11171
93	1156	11146
94	1166	11115
95	1178	11097
96	1189	11074
97	1200	11047
98	1210	11019
99	1221	10990
100	1232	10967
101	1244	10960
102	1256	10938
103	1266	10911
104	1277	10891
105	1288	10867
106	1298	10840
107	1309	10814
108	1320	10790
109	1330	10768
110	1341	10742
111	1351	10715
112	1362	10693
113	1373	10673
114	1383	10650
115	1395	10631
116	1405	10608
117	1416	10586
118	1427	10566
119	1437	10544
120	1448	10525
121	1459	10502
122	1469	10478
123	1480	10455
124	1490	10434
125	1501	10412
126	1511	10390
127	1522	10369
128	1534	10358
129	1545	10343
130	1556	10322
131	1566	10303
132	1577	10284
133	1588	10264
134	1599	10246
135	1610	10229
136	1620	10210
